
03-02-2018 22:46:46:473 - I: 	Loaded bot ..\Reference Bots\bot
03-02-2018 22:46:46:481 - I: 	Loaded bot ..\Reference Bots\Python3
03-02-2018 22:46:46:481 - I: 	Registered player UnNamed Bot
03-02-2018 22:46:46:481 - I: 	Registered player py3Bot
03-02-2018 22:46:46:524 - I: 		OK!
03-02-2018 22:46:47:823 - I: 	Added Command PlaceShipCommand for Player UnNamed Bot
03-02-2018 22:46:48:304 - I: 	Added Command PlaceShipCommand for Player py3Bot
03-02-2018 22:46:48:309 - D: 	Beginning round processing
03-02-2018 22:46:48:316 - D: 	Processing Player Commands
03-02-2018 22:46:48:335 - D: 	Killing off players who have no ships left
03-02-2018 22:46:48:335 - D: 	Round processing complete
