
06-02-2018 18:07:47:047 - I: 	Loaded bot ..\Reference Bots\Python3
06-02-2018 18:07:47:060 - I: 	Loaded bot ..\Reference Bots\bot
06-02-2018 18:07:47:060 - I: 	Registered player py3Bot
06-02-2018 18:07:47:060 - I: 	Registered player UnNamed Bot
06-02-2018 18:07:47:103 - I: 		OK!
06-02-2018 18:07:49:703 - I: 	Added Command PlaceShipCommand for Player py3Bot
06-02-2018 18:07:50:079 - I: 	Added Command PlaceShipCommand for Player UnNamed Bot
06-02-2018 18:07:50:083 - D: 	Beginning round processing
06-02-2018 18:07:50:092 - D: 	Processing Player Commands
06-02-2018 18:07:50:109 - D: 	Killing off players who have no ships left
06-02-2018 18:07:50:109 - D: 	Round processing complete
