
09-02-2018 15:50:34:535 - I: 	Executing process python.exe "" B "C:\Users\Rama R\Desktop\ITB-BattleshipBot\Game Engine\Replays\2018-02-09 15-50-32-722\Phase 1 - Round 0\B"
09-02-2018 15:50:34:598 - I: 	Bot calibration complete and can run an additional 58ms due to environment startup
09-02-2018 15:50:34:598 - D: 	Executing bot with following commands python.exe "bot.py" B "C:\Users\Rama R\Desktop\ITB-BattleshipBot\Game Engine\Replays\2018-02-09 15-50-32-722\Phase 1 - Round 0\B"
09-02-2018 15:50:34:598 - I: 	Executing process python.exe "bot.py" B "C:\Users\Rama R\Desktop\ITB-BattleshipBot\Game Engine\Replays\2018-02-09 15-50-32-722\Phase 1 - Round 0\B"
09-02-2018 15:50:34:598 - I: 	Bot has 4000ms to run before it will be forcefully killed
09-02-2018 15:50:34:644 - E: 	Output from bot:   File "bot.py", line 50
09-02-2018 15:50:34:644 - E: 	Output from bot:     def random:
09-02-2018 15:50:34:644 - E: 	Output from bot:               ^
09-02-2018 15:50:34:644 - E: 	Output from bot: SyntaxError: invalid syntax
09-02-2018 15:50:34:644 - E: 	Output from bot: 
09-02-2018 15:50:34:644 - I: 	Output from bot: 
09-02-2018 15:50:34:644 - I: 	Your bots total execution time was 00:00:00.0507846
