
12-02-2018 12:00:11:590 - I: 	Loaded bot ..\Reference Bots\Python3
12-02-2018 12:00:11:606 - I: 	Loaded bot ..\Reference Bots\BotJuara
12-02-2018 12:00:11:606 - I: 	Registered player py3Bot
12-02-2018 12:00:11:606 - I: 	Registered player BotJuara
12-02-2018 12:00:11:637 - I: 		OK!
12-02-2018 12:00:12:590 - I: 	Added Command PlaceShipCommand for Player py3Bot
12-02-2018 12:00:12:731 - I: 	Added Command PlaceShipCommand for Player BotJuara
12-02-2018 12:00:12:747 - D: 	Beginning round processing
12-02-2018 12:00:12:747 - D: 	Processing Player Commands
12-02-2018 12:00:12:762 - D: 	Killing off players who have no ships left
12-02-2018 12:00:12:762 - D: 	Round processing complete
