
13-02-2018 09:54:40:068 - I: 	Loaded bot ..\Reference Bots\Nirzz
13-02-2018 09:54:40:099 - I: 	Loaded bot ..\Reference Bots\BotJuara
13-02-2018 09:54:40:099 - I: 	Registered player niraka
13-02-2018 09:54:40:099 - I: 	Registered player BotJuara
13-02-2018 09:54:40:115 - I: 		OK!
13-02-2018 09:54:40:803 - I: 	Added Command PlaceShipCommand for Player niraka
13-02-2018 09:54:40:990 - I: 	Added Command PlaceShipCommand for Player BotJuara
13-02-2018 09:54:40:990 - D: 	Beginning round processing
13-02-2018 09:54:41:006 - D: 	Processing Player Commands
13-02-2018 09:54:41:006 - D: 	Killing off players who have no ships left
13-02-2018 09:54:41:006 - D: 	Round processing complete
