
13-02-2018 10:12:55:710 - I: 	Loaded bot ..\Reference Bots\Fazz
13-02-2018 10:12:55:757 - I: 	Loaded bot ..\Reference Bots\BotJuara
13-02-2018 10:12:55:757 - I: 	Registered player py3Bot
13-02-2018 10:12:55:757 - I: 	Registered player BotJuara
13-02-2018 10:12:55:788 - I: 		OK!
13-02-2018 10:12:56:600 - I: 	Added Command PlaceShipCommand for Player py3Bot
13-02-2018 10:12:56:772 - I: 	Added Command PlaceShipCommand for Player BotJuara
13-02-2018 10:12:56:772 - D: 	Beginning round processing
13-02-2018 10:12:56:772 - D: 	Processing Player Commands
13-02-2018 10:12:56:788 - D: 	Killing off players who have no ships left
13-02-2018 10:12:56:788 - D: 	Round processing complete
